Generación 58 : Individuo: k1: 0.5581733, k2: 3.6553336, k3: 0.5752581. Adecuación: 53.4042897476026
Generación 59 : Individuo: k1: 0.5581733, k2: 3.6553336, k3: 0.5752581. Adecuación: 53.4042897476026
Generación 60 : Individuo: k1: 0.5581733, k2: 3.6553336, k3: 0.5752581. Adecuación: 53.4042897476026
Generación 61 : Individuo: k1: 0.5581323, k2: 3.655343, k3: 0.5752127. Adecuación: 52.719760126005
Generación 62 : Individuo: k1: 0.5581323, k2: 3.655343, k3: 0.5752127. Adecuación: 52.719760126005
Generación 63 : Individuo: k1: 0.5548965, k2: 2.3682033, k3: 0.5212101. Adecuación: 30.2439864303849
Generación 64 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 65 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 66 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 67 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 68 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 69 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 70 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 71 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 72 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 73 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 74 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 75 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 76 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 77 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 78 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 79 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 80 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 81 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 82 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 83 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 84 : Individuo: k1: 0.5549696, k2: 2.3677543, k3: 0.5221942. Adecuación: 20.8269974942358
Generación 85 : Individuo: k1: 0.5549056, k2: 2.3676769, k3: 0.5222192. Adecuación: 20.417393395947
Generación 86 : Individuo: k1: 0.5549056, k2: 2.3676769, k3: 0.5222192. Adecuación: 20.417393395947
Generación 87 : Individuo: k1: 0.5549056, k2: 2.3676769, k3: 0.5222192. Adecuación: 20.417393395947
Generación 88 : Individuo: k1: 0.554906, k2: 2.3676768, k3: 0.5222205. Adecuación: 20.4096133297128
Generación 89 : Individuo: k1: 0.554906, k2: 2.3676768, k3: 0.5222205. Adecuación: 20.4096133297128
Generación 90 : Individuo: k1: 0.554906, k2: 2.3676768, k3: 0.5222205. Adecuación: 20.4096133297128
Generación 91 : Individuo: k1: 0.554906, k2: 2.3676768, k3: 0.5222205. Adecuación: 20.4096133297128
Generación 92 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 93 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 94 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 95 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 96 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 97 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 98 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
Generación 99 : Individuo: k1: 0.5518353, k2: 2.4070977, k3: 0.5222192. Adecuación: 15.1043475345151
